cell,match,s,Y_SVI,kill_diff,objective_net,alive_diff_post,p_pre,delta_V,q,trace_note
kill_plus_SVI_minus,KR_7760307076,1447044,0,1.0,0.0,2.0,0.9768948554992676,-0.008684098720550537,0.4227096240964824,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_plus_SVI_minus,KR_7761593286,402116,0,2.0,-1.0,0.0,0.5991236567497253,-0.06714862585067749,0.5783566080830224,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_plus_SVI_minus,KR_7772424815,1540758,0,1.0,2.0,2.0,0.994005560874939,-0.001336216926574707,0.6395141498470164,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_plus_SVI_minus,KR_7768234371,917137,0,1.0,2.0,0.0,0.7732003331184387,-0.04402577877044678,0.4647240967419028,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_plus_SVI_minus,KR_7771339798,1870837,0,1.0,1.0,0.0,0.9641454219818115,-0.06023728847503662,0.6988665801715552,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_plus_SVI_minus,KR_7764112305,977952,0,1.0,2.0,1.0,0.8991813063621521,-0.016821324825286865,0.5198844679426626,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_plus_SVI_minus,KR_7759087811,1158370,0,1.0,1.0,1.0,0.984098494052887,-0.004370570182800293,0.5538185819821151,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_plus_SVI_minus,KR_7767616633,1154711,0,3.0,2.0,0.0,0.9933369159698486,-0.0015308856964111328,0.6257004703196922,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_minus_SVI_plus,KR_7772975544,1789733,1,-1.0,-3.0,-1.0,0.1407107710838318,0.04417861998081207,0.5487176740790766,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_minus_SVI_plus,KR_7759887499,1474396,1,-1.0,-2.0,0.0,0.08969354629516602,0.09894640743732452,0.3887329502905385,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_minus_SVI_plus,KR_7765499659,1600518,1,-2.0,-3.0,-1.0,0.028326034545898438,0.014715712517499924,0.23410883900033555,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_minus_SVI_plus,KR_7777102831,1715452,1,-1.0,0.0,0.0,0.27989813685417175,0.390169233083725,0.60164239852466,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_minus_SVI_plus,KR_7771438387,1369880,1,-1.0,-5.0,0.0,0.006090125069022179,0.0018634563311934471,0.5057434857277319,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_minus_SVI_plus,KR_7760549040,1936464,1,-2.0,-1.0,-3.0,0.15275119245052338,0.08125893771648407,0.35749713125308274,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_minus_SVI_plus,KR_7777508792,1365140,1,-2.0,1.0,1.0,0.6317892074584961,0.00667649507522583,0.49353346440252827,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_minus_SVI_plus,KR_7774905751,892448,1,-1.0,0.0,0.0,0.07389244437217712,0.030374929308891296,0.43819080174270214,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_tie,KR_7773543011,187222,1,0.0,0.0,0.0,0.5346078276634216,0.055554091930389404,0.5023448164203299,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_tie,KR_7778237288,1278365,1,0.0,1.0,0.0,0.5783130526542664,0.08780086040496826,0.529239415296181,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_tie,KR_7758745461,1088350,0,0.0,0.0,0.0,0.6646514534950256,-0.026430964469909668,0.5479291366495094,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_tie,KR_7759340147,806884,0,0.0,0.0,0.0,0.3860427141189575,-0.04760494828224182,0.4411671778520284,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_tie,KR_7761572757,1465270,0,0.0,1.0,0.0,0.8195866346359253,-0.11194813251495361,0.5734996148885594,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_tie,KR_7758856502,1284195,0,0.0,0.0,0.0,0.6824409365653992,-0.042627811431884766,0.4680140275395837,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_tie,KR_7768155045,740265,1,0.0,0.0,0.0,0.3966852128505707,0.13319584727287292,0.3611187835299944,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_tie,KR_7762868420,1059243,0,0.0,-2.0,0.0,0.3650738000869751,-0.02218732237815857,0.3726495396417055,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_svi_disagree_any,KR_7760307076,1447044,0,1.0,0.0,2.0,0.9768948554992676,-0.008684098720550537,0.4227096240964824,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_svi_disagree_any,KR_7772975544,1789733,1,-1.0,-3.0,-1.0,0.1407107710838318,0.04417861998081207,0.5487176740790766,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_svi_disagree_any,KR_7761593286,402116,0,2.0,-1.0,0.0,0.5991236567497253,-0.06714862585067749,0.5783566080830224,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_svi_disagree_any,KR_7772424815,1540758,0,1.0,2.0,2.0,0.994005560874939,-0.001336216926574707,0.6395141498470164,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_svi_disagree_any,KR_7768234371,917137,0,1.0,2.0,0.0,0.7732003331184387,-0.04402577877044678,0.4647240967419028,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_svi_disagree_any,KR_7759887499,1474396,1,-1.0,-2.0,0.0,0.08969354629516602,0.09894640743732452,0.3887329502905385,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_svi_disagree_any,KR_7765499659,1600518,1,-2.0,-3.0,-1.0,0.028326034545898438,0.014715712517499924,0.23410883900033555,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
kill_svi_disagree_any,KR_7771339798,1870837,0,1.0,1.0,0.0,0.9641454219818115,-0.06023728847503662,0.6988665801715552,query→V/q from frozen tables; event-prefix / frame dump INCOMPLETE (no match packs).
